Id,Title,Author,ISBN,IsBorrowed,BorrowedBy
1,Flesh and the Devil,Claudine Hirche,695255409-2,False,
2,"Slumber Party Massacre, The",Alecia Polycote,057219088-3,False,
3,"Clonus Horror, The",Demetris McAlester,198033622-9,False,
4,"O Brother, Where Art Thou?",Kristyn Douch,870122662-2,False,
5,Red Lights (Feux rouges),Therine Mc Grath,687466479-4,False,
6,Fury,Lianne Mayhow,327997224-8,False,
7,Alone for Christmas,Aksel D'Ambrogi,147671554-8,False,
8,Rudy,Toinette Grigor,009053782-3,False,
9,"Twilight Samurai, The (Tasogare Seibei)",Katy Titcomb,063954948-9,False,
10,Neighbors,Maire Rive,839509939-8,False,
11,"Bête humaine, La",Margarette Beals,286641275-3,False,
12,Romeo and Juliet,Arlana Harriott,108479409-8,False,
13,Blue Valentine,Caro Derrett,761507515-7,False,
14,Music for One Apartment and Six Drummers,Bridget Sinkinson,760023852-7,False,
15,Celeste and Jesse Forever (Celeste & Jesse Forever),Theodosia Ottery,853725553-X,False,
16,Before Midnight,Dermot Cotterel,621321019-9,False,
17,"Solo ",Artie MacCafferky,190736999-6,False,
18,Valley of Head Hunters,Yorker Filyaev,757057008-1,False,
19,"She No Longer Talks, She Shoots",Welch Goldberg,556606918-5,False,
20,BloodRayne,Andi Lithgow,947110857-8,False,
21,Disco Dancer,Isabelita Janway,706987711-0,False,
22,Firestarter,Tilda Schirak,702450665-2,False,
23,Lisa Picard is Famous (a.k.a. Famous),Kathye Morphew,066419203-3,False,
24,Sunday,Terrel McGlone,855244339-2,False,
25,Around the World in 80 Days,Rosalinda Jeppe,694337852-X,False,
26,Ronal the Barbarian,Pieter Tesche,175498085-6,False,
27,Pianomania,Chloe Eacott,825581127-3,False,
28,David Holzman's Diary,Shanda Slinn,688897414-6,False,
29,There's Always Tomorrow,Teresita MacGorman,486923723-7,False,
30,Night Train,Maximilianus Bernhard,946155190-8,False,
31,Adam and Dog,Celene Penni,080293680-6,False,
32,"Werewolf, The",Tildi O'Nions,524427717-0,False,
33,Pure Country,Lynea Barroux,965895175-9,False,
34,"Manitou, The",Ash Fenech,568687861-7,False,
